Zip Code,Location
67554,"Lyons, Kansas"
67561,"Nickerson, Kansas"
67570,"Pretty Prairie, Kansas"
67632,"Damar, Kansas"
67644,"Kirwin, Kansas"
67732,"Brewster, Kansas"
67749,"Oberlin, Kansas"
67835,"Cimarron, Kansas"
67871,"Scott City, Kansas"
67954,"Rolla, Kansas"
68117,"Omaha, Nebraska"
68137,"Omaha, Nebraska"
68164,"Omaha, Nebraska"
68321,"Brownville, Nebraska"
68372,"Hickman, Nebraska"
68527,"Lincoln, Nebraska"
68651,"Osceola, Nebraska"
68761,"Oakdale, Nebraska"
68843,"Hampton, Nebraska"
68845,"Kearney, Nebraska"
68852,"Litchfield, Nebraska"
68855,"Mason City, Nebraska"
68862,"Ord, Nebraska"
68872,"Saint Libory, Nebraska"
68934,"Deweese, Nebraska"
68937,"Elwood, Nebraska"
68938,"Fairfield, Nebraska"
69343,"Gordon, Nebraska"
70082,"Pointe A La Hache, Louisiana"
70356,"Gibson, Louisiana"
70358,"Grand Isle, Louisiana"
70427,"Bogalusa, Louisiana"
70435,"Covington, Louisiana"
70538,"Franklin, Louisiana"
70548,"Kaplan, Louisiana"
70555,"Maurice, Louisiana"
70559,"Morse, Louisiana"
70582,"Saint Martinville, Louisiana"
70661,"Starks, Louisiana"
70719,"Brusly, Louisiana"
70748,"Jackson, Louisiana"
70753,"Lettsworth, Louisiana"
71046,"Keatchie, Louisiana"
71209,"Monroe, Louisiana"
71286,"Transylvania, Louisiana"
71325,"Cheneyville, Louisiana"
71345,"Lebeau, Louisiana"
71356,"Morrow, Louisiana"
71357,"Newellton, Louisiana"
71369,"Simmesport, Louisiana"
71404,"Atlanta, Louisiana"
71407,"Bentley, Louisiana"
71426,"Fisher, Louisiana"
71661,"Parkdale, Arkansas"
71909,"Hot Springs Village, Arkansas"
71944,"Grannis, Arkansas"
71957,"Mount Ida, Arkansas"
72035,"Conway, Arkansas"
72328,"Crumrod, Arkansas"
72410,"Alicia, Arkansas"
72445,"Minturn, Arkansas"
72524,"Cord, Arkansas"
72530,"Drasco, Arkansas"
72537,"Gamaliel, Arkansas"
72672,"Pyatt, Arkansas"
72687,"Yellville, Arkansas"
72762,"Springdale, Arkansas"
72855,"Paris, Arkansas"
73007,"Arcadia, Oklahoma"
73011,"Bradley, Oklahoma"
73019,"Norman, Oklahoma"
73029,"Cyril, Oklahoma"
73043,"Greenfield, Oklahoma"
73448,"Marietta, Oklahoma"
73449,"Mead, Oklahoma"
73455,"Ravia, Oklahoma"
73487,"Tatums, Oklahoma"
73554,"Mangum, Oklahoma"
73560,"Olustee, Oklahoma"
73632,"Cordell, Oklahoma"
73641,"Dill City, Oklahoma"
73718,"Ames, Oklahoma"
73743,"Hillsdale, Oklahoma"
73755,"Longdale, Oklahoma"
74020,"Cleveland, Oklahoma"
74027,"Delaware, Oklahoma"
74078,"Stillwater, Oklahoma"
74104,"Tulsa, Oklahoma"
74346,"Jay, Oklahoma"
74368,"Twin Oaks, Oklahoma"
74438,"Hitchita, Oklahoma"
74570,"Stuart, Oklahoma"
74646,"Nardin, Oklahoma"
74734,"Eagletown, Oklahoma"
74759,"Soper, Oklahoma"
74872,"Stratford, Oklahoma"
75019,"Coppell, Texas"
75024,"Plano, Texas"
75035,"Frisco, Texas"
75164,"Josephine, Texas"
75218,"Dallas, Texas"
75452,"Leonard, Texas"
75476,"Ravenna, Texas"
75481,"Sulphur Bluff, Texas"
75482,"Sulphur Springs, Texas"
75556,"Bloomburg, Texas"
75603,"Longview, Texas"
75681,"Mount Enterprise, Texas"
75780,"New Summerfield, Texas"
75790,"Van, Texas"
75792,"Winona, Texas"
75862,"Trinity, Texas"
76248,"Keller, Texas"
76435,"Carbon, Texas"
76513,"Belton, Texas"
76632,"Chilton, Texas"
76643,"Hewitt, Texas"
76653,"Kosse, Texas"
77014,"Houston, Texas"
77030,"Houston, Texas"
77036,"Houston, Texas"
77059,"Houston, Texas"
77060,"Houston, Texas"
77433,"Cypress, Texas"
77446,"Prairie View, Texas"
77453,"Lane City, Texas"
77550,"Galveston, Texas"
77665,"Winnie, Texas"
77702,"Beaumont, Texas"
77879,"Somerville, Texas"
78009,"Castroville, Texas"
78019,"Encinal, Texas"
78070,"Spring Branch, Texas"
78132,"New Braunfels, Texas"
78151,"Runge, Texas"
78222,"San Antonio, Texas"
78385,"Sarita, Texas"
78410,"Corpus Christi, Texas"
78590,"San Perlita, Texas"
78597,"South Padre Island, Texas"
78616,"Dale, Texas"
78619,"Driftwood, Texas"
78659,"Paige, Texas"
78664,"Round Rock, Texas"
78735,"Austin, Texas"
78753,"Austin, Texas"
78870,"Knippa, Texas"
78938,"Ellinger, Texas"
79045,"Hereford, Texas"
79336,"Levelland, Texas"
79347,"Muleshoe, Texas"
79350,"New Deal, Texas"
79502,"Aspermont, Texas"
79529,"Knox City, Texas"
79783,"Tarzan, Texas"
79906,"El Paso, Texas"
79920,"El Paso, Texas"
79942,"El Paso, Texas"
80105,"Deer Trail, Colorado"
80118,"Larkspur, Colorado"
80120,"Littleton, Colorado"
80121,"Littleton, Colorado"
80123,"Littleton, Colorado"
80227,"Denver, Colorado"
80235,"Denver, Colorado"
80237,"Denver, Colorado"
80264,"Denver, Colorado"
80423,"Bond, Colorado"
80510,"Allenspark, Colorado"
80521,"Fort Collins, Colorado"
80914,"Colorado Springs, Colorado"
80921,"Colorado Springs, Colorado"
81020,"Aguilar, Colorado"
81036,"Eads, Colorado"
81043,"Hartman, Colorado"
81148,"Romeo, Colorado"
81225,"Crested Butte, Colorado"
81325,"Egnar, Colorado"
81335,"Yellow Jacket, Colorado"
81640,"Maybell, Colorado"
82190,"Yellowstone National Park, Wyoming"
82227,"Manville, Wyoming"
82243,"Veteran, Wyoming"
82335,"Walcott, Wyoming"
82420,"Cowley, Wyoming"
82450,"Wapiti, Wyoming"
82501,"Riverton, Wyoming"
82725,"Recluse, Wyoming"
82838,"Parkman, Wyoming"
82929,"Little America, Wyoming"
83112,"Bedford, Wyoming"
83217,"Bancroft, Idaho"
83223,"Bloomington, Idaho"
83234,"Downey, Idaho"
83342,"Malta, Idaho"
83465,"Lemhi, Idaho"
83547,"Pollock, Idaho"
83650,"Murphy, Idaho"
83656,"Notus, Idaho"
83687,"Nampa, Idaho"
83849,"Osburn, Idaho"
84023,"Dutch John, Utah"
84037,"Kaysville, Utah"
84050,"Morgan, Utah"
84115,"Salt Lake City, Utah"
84318,"Hyde Park, Utah"
84642,"Manti, Utah"
84750,"Marysvale, Utah"
84758,"Orderville, Utah"
84790,"Saint George, Utah"
85013,"Phoenix, Arizona"
85042,"Phoenix, Arizona"
85045,"Phoenix, Arizona"
85123,"Arizona City, Arizona"
85137,"Kearny, Arizona"
85324,"Black Canyon City, Arizona"
85344,"Parker, Arizona"
85348,"Salome, Arizona"
85357,"Wenden, Arizona"
85381,"Peoria, Arizona"
85546,"Safford, Arizona"
85551,"Solomon, Arizona"
85619,"Mount Lemmon, Arizona"
85736,"Tucson, Arizona"
86432,"Littlefield, Arizona"
86442,"Bullhead City, Arizona"
86504,"Fort Defiance, Arizona"
87023,"Jarales, New Mexico"
87036,"Mountainair, New Mexico"
87415,"Flora Vista, New Mexico"
87508,"Santa Fe, New Mexico"
87567,"Santa Cruz, New Mexico"
87732,"Mora, New Mexico"
87935,"Elephant Butte, New Mexico"
89012,"Henderson, Nevada"
89043,"Pioche, Nevada"
89109,"Las Vegas, Nevada"
89404,"Denio, Nevada"
89427,"Schurz, Nevada"
90024,"Los Angeles, California"
90059,"Los Angeles, California"
90068,"Los Angeles, California"
90220,"Compton, California"
90232,"Culver City, California"
90248,"Gardena, California"
90277,"Redondo Beach, California"
90503,"Torrance, California"
90604,"Whittier, California"
90631,"La Habra, California"
90732,"San Pedro, California"
91302,"Calabasas, California"
91364,"Woodland Hills, California"
91423,"Sherman Oaks, California"
91701,"Rancho Cucamonga, California"
91784,"Upland, California"
91917,"Dulzura, California"
91977,"Spring Valley, California"
92121,"San Diego, California"
92277,"Twentynine Palms, California"
92324,"Colton, California"
92866,"Orange, California"
93021,"Moorpark, California"
93207,"California Hot Springs, California"
93215,"Delano, California"
93291,"Visalia, California"
93401,"San Luis Obispo, California"
93562,"Trona, California"
93625,"Fowler, California"
94086,"Sunnyvale, California"
94404,"San Mateo, California"
94526,"Danville, California"
94528,"Diablo, California"
94556,"Moraga, California"
94582,"San Ramon, California"
94950,"Olema, California"
95127,"San Jose, California"
95207,"Stockton, California"
95223,"Arnold, California"
95230,"Farmington, California"
95313,"Crows Landing, California"
95335,"Long Barn, California"
95338,"Mariposa, California"
95351,"Modesto, California"
95422,"Clearlake, California"
95427,"Comptche, California"
95437,"Fort Bragg, California"
95450,"Jenner, California"
95536,"Ferndale, California"
95587,"Piercy, California"
95623,"El Dorado, California"
95642,"Jackson, California"
95650,"Loomis, California"
95681,"Sheridan, California"
95687,"Vacaville, California"
95697,"Yolo, California"
95941,"Forbestown, California"
95963,"Orland, California"
95986,"Washington, California"
96011,"Big Bend, California"
96027,"Etna, California"
96034,"Gazelle, California"
96121,"Milford, California"
96719,"Hawi, Hawaii"
96921,"Barrigada, Guam"
97102,"Arch Cape, Oregon"
97109,"Buxton, Oregon"
97112,"Cloverdale, Oregon"
97113,"Cornelius, Oregon"
97133,"North Plains, Oregon"
97148,"Yamhill, Oregon"
97210,"Portland, Oregon"
97224,"Portland, Oregon"
97301,"Salem, Oregon"
97302,"Salem, Oregon"
97376,"Seal Rock, Oregon"
97381,"Silverton, Oregon"
97430,"Deadwood, Oregon"
97444,"Gold Beach, Oregon"
97452,"Lowell, Oregon"
97462,"Oakland, Oregon"
97495,"Winchester, Oregon"
97501,"Medford, Oregon"
97601,"Klamath Falls, Oregon"
97641,"Christmas Valley, Oregon"
97843,"Ione, Oregon"
98154,"Seattle, Washington"
98208,"Everett, Washington"
98220,"Acme, Washington"
98244,"Deming, Washington"
98362,"Port Angeles, Washington"
98387,"Spanaway, Washington"
98499,"Lakewood, Washington"
98532,"Chehalis, Washington"
98536,"Copalis Crossing, Washington"
98570,"Onalaska, Washington"
98590,"Tokeland, Washington"
98611,"Castle Rock, Washington"
98619,"Glenwood, Washington"
98620,"Goldendale, Washington"
98629,"La Center, Washington"
98663,"Vancouver, Washington"
98851,"Soap Lake, Washington"
98932,"Granger, Washington"
98937,"Naches, Washington"
98947,"Tieton, Washington"
99323,"Burbank, Washington"
99337,"Kennewick, Washington"
99609,"Kasigluk, Alaska"
99645,"Palmer, Alaska"
99760,"Nenana, Alaska"
99765,"Nulato, Alaska"
99771,"Shaktoolik, Alaska"
99781,"Venetie, Alaska"
99903,"Meyers Chuck, Alaska"
21048,"Finksburg, Maryland"
21053,"Freeland, Maryland"
21146,"Severna Park, Maryland"
21562,"Westernport, Maryland"
21601,"Easton, Maryland"
21853,"Princess Anne, Maryland"
21918,"Conowingo, Maryland"
31031,"Gordon, Georgia"
31775,"Omega, Georgia"
31778,"Pavo, Georgia"
31804,"Cataula, Georgia"
32181,"Pomona Park, Florida"
32228,"Jacksonville, Florida"
32246,"Jacksonville, Florida"
32254,"Jacksonville, Florida"
32332,"Gretna, Florida"
32714,"Altamonte Springs, Florida"
32726,"Eustis, Florida"
32751,"Maitland, Florida"
32903,"Indialantic, Florida"
33004,"Dania, Florida"
33063,"Pompano Beach, Florida"
33176,"Miami, Florida"
33326,"Fort Lauderdale, Florida"
33331,"Fort Lauderdale, Florida"
33418,"Palm Beach Gardens, Florida"
33446,"Delray Beach, Florida"
33570,"Ruskin, Florida"
33629,"Tampa, Florida"
33703,"Saint Petersburg, Florida"
33707,"Saint Petersburg, Florida"
33815,"Lakeland, Florida"
33847,"Homeland, Florida"
33904,"Cape Coral, Florida"
33935,"Labelle, Florida"
34219,"Parrish, Florida"
34473,"Ocala, Florida"
34480,"Ocala, Florida"
34683,"Palm Harbor, Florida"
34785,"Wildwood, Florida"
35553,"Double Springs, Alabama"
35570,"Hamilton, Alabama"
35577,"Natural Bridge, Alabama"
35584,"Sipsey, Alabama"
35613,"Athens, Alabama"
35645,"Killen, Alabama"
35760,"New Hope, Alabama"
35805,"Huntsville, Alabama"
35811,"Huntsville, Alabama"
35824,"Huntsville, Alabama"
36025,"Elmore, Alabama"
36343,"Gordon, Alabama"
36467,"Opp, Alabama"
36523,"Coden, Alabama"
36571,"Saraland, Alabama"
36758,"Plantersville, Alabama"
37037,"Christiana, Tennessee"
37076,"Hermitage, Tennessee"
37326,"Ducktown, Tennessee"
37339,"Gruetli Laager, Tennessee"
37406,"Chattanooga, Tennessee"
37722,"Cosby, Tennessee"
37748,"Harriman, Tennessee"
37777,"Louisville, Tennessee"
38050,"Maury City, Tennessee"
38079,"Tiptonville, Tennessee"
38117,"Memphis, Tennessee"
38224,"Cottage Grove, Tennessee"
38225,"Dresden, Tennessee"
38321,"Cedar Grove, Tennessee"
38343,"Humboldt, Tennessee"
38552,"Chestnut Mound, Tennessee"
38619,"Como, Mississippi"
38642,"Lamar, Mississippi"
38676,"Tunica, Mississippi"
38746,"Gunnison, Mississippi"
38759,"Merigold, Mississippi"
38945,"Greenwood, Mississippi"
39038,"Belzoni, Mississippi"
39047,"Brandon, Mississippi"
39079,"Goodman, Mississippi"
39116,"Mize, Mississippi"
39305,"Meridian, Mississippi"
39327,"Decatur, Mississippi"
39356,"Rose Hill, Mississippi"
39443,"Laurel, Mississippi"
39507,"Gulfport, Mississippi"
39834,"Climax, Georgia"
40040,"Mackville, Kentucky"
40052,"New Hope, Kentucky"
40055,"Pendleton, Kentucky"
40056,"Pewee Valley, Kentucky"
40146,"Irvington, Kentucky"
40155,"Muldraugh, Kentucky"
40505,"Lexington, Kentucky"
40807,"Benham, Kentucky"
40823,"Cumberland, Kentucky"
40843,"Holmes Mill, Kentucky"
41052,"Jonesville, Kentucky"
41055,"Mayslick, Kentucky"
41168,"Rush, Kentucky"
41238,"Oil Springs, Kentucky"
41557,"Raccoon, Kentucky"
41667,"Weeksbury, Kentucky"
41712,"Ary, Kentucky"
42031,"Clinton, Kentucky"
42083,"Tiline, Kentucky"
42217,"Crofton, Kentucky"
42265,"Olmstead, Kentucky"
42344,"Graham, Kentucky"
42347,"Hartford, Kentucky"
42411,"Fredonia, Kentucky"
42431,"Madisonville, Kentucky"
42565,"Windsor, Kentucky"
42649,"Strunk, Kentucky"
43021,"Galena, Ohio"
43026,"Hilliard, Ohio"
43062,"Pataskala, Ohio"
43065,"Powell, Ohio"
43070,"Rosewood, Ohio"
43119,"Galloway, Ohio"
43138,"Logan, Ohio"
43155,"Sugar Grove, Ohio"
43231,"Columbus, Ohio"
43316,"Carey, Ohio"
43320,"Edison, Ohio"
43342,"Prospect, Ohio"
43357,"West Liberty, Ohio"
43527,"Holgate, Ohio"
43723,"Byesville, Ohio"
43746,"Hopewell, Ohio"
43777,"Roseville, Ohio"
43961,"Stratton, Ohio"
43968,"Wellsville, Ohio"
43972,"Bannock, Ohio"
44050,"Lagrange, Ohio"
44124,"Cleveland, Ohio"
44139,"Solon, Ohio"
44230,"Doylestown, Ohio"
44253,"Litchfield, Ohio"
44302,"Akron, Ohio"
44311,"Akron, Ohio"
44428,"Kinsman, Ohio"
44443,"New Springfield, Ohio"
44470,"Southington, Ohio"
44709,"Canton, Ohio"
44714,"Canton, Ohio"
44836,"Green Springs, Ohio"
44847,"Monroeville, Ohio"
44905,"Mansfield, Ohio"
45014,"Fairfield, Ohio"
45033,"Hooven, Ohio"
45122,"Goshen, Ohio"
45224,"Cincinnati, Ohio"
45317,"Conover, Ohio"
45337,"Laura, Ohio"
45459,"Dayton, Ohio"
45624,"Cynthiana, Ohio"
45628,"Frankfort, Ohio"
45682,"South Webster, Ohio"
45694,"Wheelersburg, Ohio"
45766,"New Marshfield, Ohio"
45866,"Montezuma, Ohio"
45876,"Ottoville, Ohio"
46062,"Noblesville, Indiana"
46172,"Roachdale, Indiana"
46348,"La Crosse, Indiana"
46349,"Lake Village, Indiana"
46360,"Michigan City, Indiana"
46544,"Mishawaka, Indiana"
46635,"South Bend, Indiana"
46737,"Fremont, Indiana"
46747,"Hudson, Indiana"
46994,"Walton, Indiana"
47001,"Aurora, Indiana"
47040,"Rising Sun, Indiana"
47166,"Ramsey, Indiana"
47263,"New Point, Indiana"
47274,"Seymour, Indiana"
47374,"Richmond, Indiana"
47403,"Bloomington, Indiana"
47454,"Paoli, Indiana"
47462,"Springville, Indiana"
47522,"Crane, Indiana"
47968,"New Ross, Indiana"
48095,"Washington, Michigan"
48201,"Detroit, Michigan"
48206,"Detroit, Michigan"
48335,"Farmington, Michigan"
48367,"Leonard, Michigan"
48437,"Genesee, Michigan"
48453,"Marlette, Michigan"
48466,"Peck, Michigan"
48631,"Kawkawlin, Michigan"
48662,"Wheeler, Michigan"
48667,"Midland, Michigan"
48705,"Barton City, Michigan"
48730,"East Tawas, Michigan"
48848,"Laingsburg, Michigan"
48896,"Winn, Michigan"
49095,"Vandalia, Michigan"
49238,"Deerfield, Michigan"
49265,"Onsted, Michigan"
49288,"Waldron, Michigan"
49306,"Belmont, Michigan"
49419,"Hamilton, Michigan"
49509,"Wyoming, Michigan"
49519,"Wyoming, Michigan"
49619,"Brethren, Michigan"
49625,"Copemish, Michigan"
49632,"Falmouth, Michigan"
49651,"Lake City, Michigan"
49710,"Barbeau, Michigan"
49726,"Drummond Island, Michigan"
49752,"Kinross, Michigan"
49760,"Moran, Michigan"
49765,"Onaway, Michigan"
49769,"Pellston, Michigan"
49826,"Rumely, Michigan"
49872,"Perkins, Michigan"
49876,"Quinnesec, Michigan"
49903,"Amasa, Michigan"
49905,"Atlantic Mine, Michigan"
49919,"Covington, Michigan"
49920,"Crystal Falls, Michigan"
50014,"Ames, Iowa"
50074,"Ellston, Iowa"
50142,"Le Grand, Iowa"
50161,"Maxwell, Iowa"
50225,"Pleasantville, Iowa"
50265,"West Des Moines, Iowa"
50566,"Moorland, Iowa"
50604,"Aplington, Iowa"
50605,"Aredale, Iowa"
50668,"Readlyn, Iowa"
50672,"Steamboat Rock, Iowa"
50862,"Sharpsburg, Iowa"
51011,"Chatsworth, Iowa"
51052,"Salix, Iowa"
51247,"Rock Valley, Iowa"
51331,"Arnolds Park, Iowa"
51632,"Clarinda, Iowa"
52030,"Andrew, Iowa"
52035,"Colesburg, Iowa"
52040,"Dyersville, Iowa"
52132,"Calmar, Iowa"
52136,"Cresco, Iowa"
52165,"Ridgeway, Iowa"
52246,"Iowa City, Iowa"
52306,"Mechanicsville, Iowa"
52555,"Exline, Iowa"
52572,"Moulton, Iowa"
52577,"Oskaloosa, Iowa"
52626,"Farmington, Iowa"
52649,"Salem, Iowa"
52737,"Columbus City, Iowa"
53047,"Lebanon, Wisconsin"
53080,"Saukville, Wisconsin"
53125,"Fontana, Wisconsin"
53172,"South Milwaukee, Wisconsin"
53505,"Avalon, Wisconsin"
53523,"Cambridge, Wisconsin"
53594,"Waterloo, Wisconsin"
53597,"Waunakee, Wisconsin"
53714,"Madison, Wisconsin"
53939,"Kingston, Wisconsin"
53944,"Lyndon Station, Wisconsin"
54020,"Osceola, Wisconsin"
54169,"Sherwood, Wisconsin"
54440,"Hatley, Wisconsin"
54465,"Pickerel, Wisconsin"
54527,"Glidden, Wisconsin"
54536,"Iron Belt, Wisconsin"
54642,"Melrose, Wisconsin"
54821,"Cable, Wisconsin"
54836,"Foxboro, Wisconsin"
54862,"Ojibwa, Wisconsin"
54864,"Poplar, Wisconsin"
54923,"Berlin, Wisconsin"
54943,"Hancock, Wisconsin"
54964,"Pickett, Wisconsin"
54986,"Winneconne, Wisconsin"
55019,"Dundas, Minnesota"
55024,"Farmington, Minnesota"
55372,"Prior Lake, Minnesota"
55403,"Minneapolis, Minnesota"
55405,"Minneapolis, Minnesota"
55455,"Minneapolis, Minnesota"
55725,"Crane Lake, Minnesota"
55726,"Cromwell, Minnesota"
55807,"Duluth, Minnesota"
55814,"Duluth, Minnesota"
55991,"Zumbro Falls, Minnesota"
56047,"Huntley, Minnesota"
56056,"La Salle, Minnesota"
56111,"Alpha, Minnesota"
56137,"Heron Lake, Minnesota"
56149,"Lake Benton, Minnesota"
56230,"Danube, Minnesota"
56237,"Echo, Minnesota"
56274,"Norcross, Minnesota"
56444,"Deerwood, Minnesota"
56522,"Campbell, Minnesota"
56565,"Nashua, Minnesota"
56686,"Williams, Minnesota"
56725,"Goodridge, Minnesota"
56726,"Greenbush, Minnesota"
56762,"Warren, Minnesota"
57043,"Marion, South Dakota"
57068,"Valley Springs, South Dakota"
57072,"Volin, South Dakota"
57325,"Chamberlain, South Dakota"
57342,"Geddes, South Dakota"
57362,"Miller, South Dakota"
57401,"Aberdeen, South Dakota"
57552,"Midland, South Dakota"
57633,"Isabel, South Dakota"
57636,"Lantry, South Dakota"
57658,"Wakpala, South Dakota"
57725,"Caputa, South Dakota"
58017,"Cogswell, North Dakota"
58029,"Erie, North Dakota"
58203,"Grand Forks, North Dakota"
58212,"Aneta, North Dakota"
58214,"Arvilla, North Dakota"
58261,"Minto, North Dakota"
58317,"Bisbee, North Dakota"
58381,"Warwick, North Dakota"
58420,"Buchanan, North Dakota"
58558,"Menoken, North Dakota"
58642,"Manning, North Dakota"
58705,"Minot Afb, North Dakota"
659,"Hatillo, Puerto Rico"
680,"Mayaguez, Puerto Rico"
736,"Cayey, Puerto Rico"
1026,"Cummington, Massachusetts"
1063,"Northampton, Massachusetts"
1104,"Springfield, Massachusetts"
1129,"Springfield, Massachusetts"
1379,"Wendell, Massachusetts"
1464,"Shirley, Massachusetts"
1501,"Auburn, Massachusetts"
1564,"Sterling, Massachusetts"
1718,"Acton, Massachusetts"
1985,"West Newbury, Massachusetts"
2122,"Dorchester, Massachusetts"
2126,"Mattapan, Massachusetts"
2149,"Everett, Massachusetts"
2322,"Avon, Massachusetts"
2364,"Kingston, Massachusetts"
2457,"Babson Park, Massachusetts"
2540,"Falmouth, Massachusetts"
2557,"Oak Bluffs, Massachusetts"
2647,"Hyannis Port, Massachusetts"
2663,"South Wellfleet, Massachusetts"
2671,"West Harwich, Massachusetts"
2721,"Fall River, Massachusetts"
2745,"New Bedford, Massachusetts"
2802,"Albion, Rhode Island"
3037,"Deerfield, New Hampshire"
3084,"Temple, New Hampshire"
3249,"Gilford, New Hampshire"
3260,"North Sutton, New Hampshire"
3261,"Northwood, New Hampshire"
3273,"South Sutton, New Hampshire"
3446,"Swanzey, New Hampshire"
3570,"Berlin, New Hampshire"
3574,"Bethlehem, New Hampshire"
3609,"North Walpole, New Hampshire"
3766,"Lebanon, New Hampshire"
3811,"Atkinson, New Hampshire"
3844,"Hampton Falls, New Hampshire"
3849,"Madison, New Hampshire"
3860,"North Conway, New Hampshire"
3904,"Kittery, Maine"
3905,"Kittery Point, Maine"
4022,"Denmark, Maine"
4037,"Fryeburg, Maine"
4226,"East Andover, Maine"
4236,"Greene, Maine"
4263,"Leeds, Maine"
4330,"Augusta, Maine"
4353,"Whitefield, Maine"
4459,"Mattawamkeag, Maine"
4492,"Waite, Maine"
4574,"Washington, Maine"
4653,"Bass Harbor, Maine"
4761,"New Limerick, Maine"
4912,"Athens, Maine"
5033,"Bradford, Vermont"
5342,"Jacksonville, Vermont"
5408,"Burlington, Vermont"
5730,"Belmont, Vermont"
5753,"Middlebury, Vermont"
5821,"Barnet, Vermont"
5830,"Derby Line, Vermont"
6042,"Manchester, Connecticut"
6088,"East Windsor, Connecticut"
6089,"Weatogue, Connecticut"
6237,"Columbia, Connecticut"
6241,"Dayville, Connecticut"
6266,"South Windham, Connecticut"
6340,"Groton, Connecticut"
6437,"Guilford, Connecticut"
6482,"Sandy Hook, Connecticut"
6484,"Shelton, Connecticut"
6830,"Greenwich, Connecticut"
7011,"Clifton, New Jersey"
7034,"Lake Hiawatha, New Jersey"
7058,"Pine Brook, New Jersey"
7060,"Plainfield, New Jersey"
7064,"Port Reading, New Jersey"
7065,"Rahway, New Jersey"
7522,"Paterson, New Jersey"
7644,"Lodi, New Jersey"
7656,"Park Ridge, New Jersey"
7661,"River Edge, New Jersey"
7719,"Belmar, New Jersey"
7836,"Flanders, New Jersey"
8090,"Wenonah, New Jersey"
8091,"West Berlin, New Jersey"
8092,"West Creek, New Jersey"
8095,"Winslow, New Jersey"
8221,"Linwood, New Jersey"
8251,"Villas, New Jersey"
